iter	Passed	Remaining
0	4	434
1	7	370
2	11	369
3	14	342
4	17	336
5	21	332
6	24	329
7	28	324
8	31	319
9	35	316
10	38	314
11	42	308
12	45	302
13	48	297
14	51	292
15	54	287
16	57	282
17	60	276
18	63	272
19	67	268
20	70	264
21	73	261
22	76	257
23	80	253
24	83	251
25	86	247
26	90	243
27	93	239
28	96	236
29	99	232
30	102	228
31	105	224
32	108	220
33	112	217
34	115	213
35	118	210
36	121	206
37	124	202
38	127	199
39	130	195
40	133	191
41	134	185
42	137	182
43	140	178
44	143	175
45	146	172
46	149	168
47	152	165
48	156	162
49	159	159
50	162	156
51	165	152
52	168	149
53	171	146
54	173	142
55	176	138
56	179	135
57	182	132
58	186	129
59	189	126
60	192	122
61	195	119
62	198	116
63	202	113
64	205	110
65	208	107
66	210	103
67	214	100
68	217	97
69	220	94
70	223	91
71	226	88
72	230	85
73	233	81
74	236	78
75	239	75
76	242	72
77	245	69
78	248	66
79	251	62
80	255	59
81	258	56
82	261	53
83	264	50
84	267	47
85	270	44
86	273	40
87	276	37
88	279	34
89	283	31
90	286	28
91	289	25
92	292	22
93	295	18
94	298	15
95	301	12
96	304	9
97	308	6
98	311	3
99	314	0
